Source,Target,Type,Id,Label
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,ARCHAEOLOGICAL HERITAGE.E27:NAME.E41,Directed,429,P1
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,ARCHAEOLOGICAL HERITAGE.E27:SCIENTIFIC DATING EVENT.E5,Directed,430,-P12
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,ARCHAEOLOGICAL HERITAGE.E27:EXTERNAL RESOURCE.E1,Directed,432,BM.PX.is_related_to
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,ARCHAEOLOGICAL HERITAGE.E27:PLACE.E53,Directed,433,P53
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,ARCHAEOLOGICAL HERITAGE.E27:ARCHES RESOURCE.E1,Directed,434,BM.PX.is_related_to
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,ARCHAEOLOGICAL HERITAGE.E27:DISTINGUISHING FEATURES.E62,Directed,435,P3
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,ARCHAEOLOGICAL HERITAGE.E27:RIGHT.E30,Directed,437,P104
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,10,Directed,479,-P70
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,-1,Directed,495,-P46
ARCHAEOLOGICAL HERITAGE.E27:ARCHAEOLOGICAL HERITAGE.E27,295,Directed,514,P42
ARCHAEOLOGICAL HERITAGE.E27:ABSOLUTE DATING ATTRIBUTE ASSIGNMENT.E13,ARCHAEOLOGICAL HERITAGE.E27:ABSOLUTE DATING METHOD.E55,Directed,438,P2
ARCHAEOLOGICAL HERITAGE.E27:PLACE.E53,ARCHAEOLOGICAL HERITAGE.E27:PLACE_SITE LOCATION.E53,Directed,439,P89
ARCHAEOLOGICAL HERITAGE.E27:PLACE.E53,ARCHAEOLOGICAL HERITAGE.E27:ADMINISTRATIVE SUBDIVISION.E48,Directed,469,P45
ARCHAEOLOGICAL HERITAGE.E27:PLACE.E53,ARCHAEOLOGICAL HERITAGE.E27:PLACE_ADDRESS.E53,Directed,440,P89
ARCHAEOLOGICAL HERITAGE.E27:PLACE.E53,ARCHAEOLOGICAL HERITAGE.E27:SPATIAL COORDINATES_GEOMETRY.E47,Directed,441,P87
ARCHAEOLOGICAL HERITAGE.E27:PLACE.E53,ARCHAEOLOGICAL HERITAGE.E27:PLACE_CADASTRAL REFERENCE.E53,Directed,443,P89
ARCHAEOLOGICAL HERITAGE.E27:ABSOLUTE DATING METHOD.E55,ARCHAEOLOGICAL HERITAGE.E27:ABSOLUTE DATING METHOD AUTHORITY DOCUMENT.E32,Directed,444,-P71
ARCHAEOLOGICAL HERITAGE.E27:PLACE_THIS LAND PARCEL.E53,ARCHAEOLOGICAL HERITAGE.E27:PLACE APPELLATION_CADASTRAL REFERENCE.E44,Directed,445,P87
ARCHAEOLOGICAL HERITAGE.E27:ARCHES RESOURCE.E1,ARCHAEOLOGICAL HERITAGE.E27:ARCHES RESOURCE CROSS-REFERENCE.E42,Directed,446,P1
ARCHAEOLOGICAL HERITAGE.E27:CULTURAL PERIOD.E55,ARCHAEOLOGICAL HERITAGE.E27:CULTURAL PERIOD AUTHORITY DOCUMENT.E32,Directed,447,-P71
ARCHAEOLOGICAL HERITAGE.E27:ABSOLUTE DATING_EVENT DATE RANGE.E52,ARCHAEOLOGICAL HERITAGE.E27:ABSOLUTE DATE.E49,Directed,451,P78
ARCHAEOLOGICAL HERITAGE.E27:ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE.E55,ARCHAEOLOGICAL HERITAGE.E27:ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.E32,Directed,454,-P71
ARCHAEOLOGICAL HERITAGE.E27:SCIENTIFIC DATING METHOD.E55,ARCHAEOLOGICAL HERITAGE.E27:SCIENTIFIC DATING METHOD AUTHORITY DOCUMENT.E32,Directed,455,-P71
ARCHAEOLOGICAL HERITAGE.E27:EXTERNAL XREF.E42,ARCHAEOLOGICAL HERITAGE.E27:EXTERNAL XREF TYPE.E55,Directed,457,P2
ARCHAEOLOGICAL HERITAGE.E27:TIME SPAN OF DESIGNATION AND PROTECTION.E52,ARCHAEOLOGICAL HERITAGE.E27:DESIGNATION AND PROTECTION TO DATE.E49,Directed,458,P78
ARCHAEOLOGICAL HERITAGE.E27:TIME SPAN OF DESIGNATION AND PROTECTION.E52,ARCHAEOLOGICAL HERITAGE.E27:DESIGNATION AND PROTECTION FROM DATE.E49,Directed,459,P78
ARCHAEOLOGICAL HERITAGE.E27:MATERIAL.E57,ARCHAEOLOGICAL HERITAGE.E27:MATERIAL AUTHORITY DOCUMENT.E32,Directed,464,-P71
ARCHAEOLOGICAL HERITAGE.E27:PLACE_CADASTRAL REFERENCE.E53,ARCHAEOLOGICAL HERITAGE.E27:PLACE_THIS LAND PARCEL.E53,Directed,465,P89
ARCHAEOLOGICAL HERITAGE.E27:RIGHT.E30,ARCHAEOLOGICAL HERITAGE.E27:PROTECTION EVENT.E65,Directed,466,-P94
256,257,Directed,471,-P71
258,261,Directed,476,P4
261,262,Directed,478,P78
261,263,Directed,477,P78
1,8,Directed,485,P4
4,1,Directed,484,-P134
4,6,Directed,482,P14
4,7,Directed,487,P4
6,9,Directed,483,P131
7,5,Directed,488,P78
8,2,Directed,486,P78
10,3,Directed,481,P48
10,4,Directed,480,-P94
-1,ARCHAEOLOGICAL HERITAGE.E27:MATERIAL COMPONENT TYPE.E55,Directed,498,P2
-1,ARCHAEOLOGICAL HERITAGE.E27:MATERIAL.E57,Directed,496,-P46
-1,-2,Directed,489,-P108
-1,283,Directed,502,P2
-1,287,Directed,506,P43
-2,ARCHAEOLOGICAL HERITAGE.E27:DESIGN OR PROCEDURE.E29,Directed,494,P33
283,284,Directed,503,-P71
285,286,Directed,505,-P71
287,289,Directed,507,-P71
287,290,Directed,508,P91
290,292,Directed,511,-P71
290,293,Directed,512,P90
290,294,Directed,515,P90
295,296,Directed,516,-P71
